name,volume,wall_thickness,manifold,positive_volume,no_intersections,thick_walls
/data/csc4801/KedzioraLab/thingiverse/bench/stls/OO-HO_Platform_Bench/Bench.stl,,0.09862155448920283,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Clamp-On_Vise_-_Fully_3D_Printable/Vise.stl,,0.1453618445078322,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bench/stls/bench_vise_jaw_plates/benchvise_jaw_plate.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Dremel_3000_Bench_Mount/Dremel_3000_desk_mount.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Bench_-_rpg_terrain/panchina.stl,,0.038384807272602954,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Simple_Bench_/Schlichte_Bank_V3.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/PC_Test_Bench_(Micro_ATX)/PC_Testbench_Assembly.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Motherboard_bench/1_-_Full.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Smart_One_Handed_Bottle_Opener/One_handed_bottle_opener_v.4_Edition3.stl,,0.1753051778958726,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Smart_One_Handed_Bottle_Opener/One_handed_bottle_opener_v.4_Edition2.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Smart_One_Handed_Bottle_Opener/One_handed_bottle_opener_v.4_Edition4.stl,,0.14959548051819907,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bench/stls/Smart_One_Handed_Bottle_Opener/One_handed_bottle_opener_v.4_Edition1.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Fantasy_Bookshelf_Insert/cobbles.stl,,0.10836704620016786,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Fantasy_Bookshelf_Insert/right_wall_fixed.stl,,0.10693551614029102,False,True,False,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Fantasy_Bookshelf_Insert/left_wall_fixed.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Fantasy_Bookshelf_Insert/Cobbles_Fixed_V2_by__EthanZachary_thing4234098.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Replacement_Ikea_Bookshelf_Cam/Ikea_Shelf_Cam.stl,,0.14802891412442307,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Bookshelf_for_DnD/bookshelf_-_large_-_single.stl,,0.08838401785629563,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Modular_Bookshelf/BookFullRow_1in_4.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Modular_Bookshelf/BookFullRow_1in_5.stl,,0.1788661495025055,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/zx82net_Bookshelf_Speaker_(Hexibase_remix)_v2/Front_Plate_with_protectors_45_deg_print.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/RPG_-_Dungeon_-_Terrain_-_Library_bookshelf_-_bookshelves_-_straight_-_corner_-_28mm/Bookshelf_-_empty.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/RPG_-_Dungeon_-_Terrain_-_Library_bookshelf_-_bookshelves_-_straight_-_corner_-_28mm/Bookshelf_-_broken_shelves.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/RPG_-_Dungeon_-_Terrain_-_Library_bookshelf_-_bookshelves_-_straight_-_corner_-_28mm/Bookshelf_-_rounded_corner.stl,,0.09421862487228984,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/RPG_-_Dungeon_-_Terrain_-_Library_bookshelf_-_bookshelves_-_straight_-_corner_-_28mm/Bookshelf_-_rounded_corner_with_supports.stl,,0.0960439091451672,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/RPG_-_Dungeon_-_Terrain_-_Library_bookshelf_-_bookshelves_-_straight_-_corner_-_28mm/Bookshelf_-_mostly_empty.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/RPG_-_Dungeon_-_Terrain_-_Library_bookshelf_-_bookshelves_-_straight_-_corner_-_28mm/Corner_Bookshelf_01.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Bookshelf_and_Cupboard/shelfbookshelf-filled.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Bookshelf_and_Cupboard/shelfCupboardshelf-2.stl,,0.09386627876697551,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Bookshelf_and_Cupboard/shelfCupboardshelf-3.stl,,0.14143820652936204,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Bookshelf_and_Cupboard/shelfBookshelf-3.stl,,0.19335731669579487,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Simple_Mini_D&D_Bookshelf/Bookshelf.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Mini_bookshelf_(3_tall)/bottom.stl,,0.049771299520984434,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Victorian_Mirrored_Bookshelf_-_121_doll_house_scale/top-sm_buildplate.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bookshelf/stls/Victorian_Mirrored_Bookshelf_-_121_doll_house_scale/display-to_edit.stl,,,False,True,False,True
